adamas,"Adamas.ai DNSCrypt","DNSCrypt Server in LUX provided by adamas.ai","Luxembourg","",http.//adamas.ai,1,no,yes,no,80.90.43.162:5678,2.dnscrypt-cert.adamas.ai,6484:544A:4B91:F23A:E8AD:2AA3:6661:C419:D09B:C88D:B1AF:C314:E59D:2C36:0F81:FB99,
bikinhappy-sg,"BikinHappy Singapore","provided by bikinhappy.com","Singapore","",http://dns.bikinhappy.com,1,yes,yes,no,172.104.46.253:443,2.dnscrypt-cert.dns.bikinhappy.com,7167:91A0:745E:17ED:1E73:D426:C697:E8DF:EE4B:476B:149F:8449:62DD:4615:BD71:5C70,
bn-fr0,"Babylon Network France 0","Non-logging uncensored DNS resolver provided by Babylon Network","Roubaix France","",https://babylon.network,1,no,yes,no,5.135.66.222:5353,2.dnscrypt-cert.babylon.network,8794:070A:143D:35CA:1CA6:32E7:B189:3028:4EAE:5DAF:EBB4:01E3:DF52:E9F0:37AB:D182,pk.fr0.dnscrypt.babylon.network
bn-fr1,"Babylon Network France 1","Non-logging uncensored DNS resolver provided by Babylon Network","Roubaix France","",https://babylon.network,1,no,yes,no,164.132.130.171:5353,2.dnscrypt-cert.babylon.network,8794:070A:143D:35CA:1CA6:32E7:B189:3028:4EAE:5DAF:EBB4:01E3:DF52:E9F0:37AB:D182,pk.fr1.dnscrypt.babylon.network
bn-nl0,"Babylon Network Netherlands 0","Non-logging uncensored DNS resolver provided by Babylon Network","Amsterdam The Netherlands","",https://babylon.network,1,no,yes,no,87.253.152.190:5353,2.dnscrypt-cert.babylon.network,8794:070A:143D:35CA:1CA6:32E7:B189:3028:4EAE:5DAF:EBB4:01E3:DF52:E9F0:37AB:D182,pk.nl0.dnscrypt.babylon.network
captnemo-in,"Nemo s DNS Resolver India","Non-logging provided by Nemo","Bangalore India","",https://captnemo.in/dnscrypt/,1,no,yes,no,139.59.48.222:4434,2.dnscrypt-cert.captnemo.in#,053A:DFF2:C5A3:2916:D81A:D88A:6779:2C30:2BAA:D5D2:8032:95E8:5A9B:D22F:8687:1E10,dnscrypt.captnemo.in
cloudns-can,"CloudNS Canberra","CloudNS is an Australian based security focused DNS provider.","Canberra AU","",https://cloudns.com.au,1,yes,yes,yes,113.20.6.2:443,2.dnscrypt-cert.cloudns.com.au,1971:7C1A:C550:6C09:F09B:ACB1:1AF7:C349:6425:2676:247F:B738:1C5A:243A:C1CC:89F4,
cloudns-syd,"CloudNS Sydney","CloudNS is an Australian based security focused DNS provider.","Sydney AU","",https://cloudns.com.au,1,yes,yes,yes,113.20.8.17:443,2.dnscrypt-cert-2.cloudns.com.au,67A4:323E:581F:79B9:BC54:825F:54FE:1025:8B4F:37EB:0D07:0BCE:4010:6195:D94F:E330,
cs-cfii,"CS secondary cryptofree France DNSCrypt server","provided by cryptostorm.is","Paris France","",https://cryptostorm.is,1,no,yes,yes,23.105.70.204:443,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-cfi,"CS cryptofree France DNSCrypt server","provided by cryptostorm.is","Paris France","",https://cryptostorm.is,1,no,yes,yes,212.83.175.31:443,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-ch2,"CS Switzerland DNSCrypt server","provided by cryptostorm.is","Zurich Switzerland","",https://cryptostorm.is,1,no,yes,yes,81.17.31.34:443,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-ch,"CS Switzerland DNSCrypt server","provided by cryptostorm.is","Baar Switzerland","",https://cryptostorm.is,1,no,yes,yes,185.60.147.77:443,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-es,"CS Spain DNSCrypt server","provided by cryptostorm.is","Valencia Spain","",https://cryptostorm.is,1,no,yes,yes,185.140.114.51:443,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-lt,"CS Lithuania DNSCrypt server","provided by cryptostorm.is","Vilnius Lithuania","",https://cryptostorm.is,1,no,yes,yes,46.166.170.10:443,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-lv,"CS Latvia DNSCrypt server","provided by cryptostorm.is","Riga Latvia","",https://cryptostorm.is,1,no,yes,yes,109.248.149.133:443,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-lv,"CS Latvia DNSCrypt server","provided by cryptostorm.is","Riga Latvia","",https://cryptostorm.is,1,no,yes,yes,80.233.134.52:443,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-md,"CS Moldova DNSCrypt server","provided by cryptostorm.is","Chisinau Moldova","",https://cryptostorm.is,1,no,yes,yes,176.123.3.249:443,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-uk,"CS England DNSCrypt server","provided by cryptostorm.is","Rugby England","",https://cryptostorm.is,1,no,yes,yes,5.101.137.251:443,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-uk,"CS England DNSCrypt server","provided by cryptostorm.is","Rugby England","",https://cryptostorm.is,1,no,yes,yes,5.101.149.3:443,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-uk,"CS England DNSCrypt server","provided by cryptostorm.is","Rugby England","",https://cryptostorm.is,1,no,yes,yes,82.163.72.123:443,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-ussouth2,"CS Atlanta GA US DNSCrypt server","provided by cryptostorm.is","Atlanta GA","",https://cryptostorm.is,1,no,yes,yes,108.62.19.131:443,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-ussouth2,"CS Atlanta GA US DNSCrypt server","provided by cryptostorm.is","Atlanta GA","",https://cryptostorm.is,1,no,yes,yes,64.42.181.227:443,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-uswest5,"CS Los Angeles CA US DNSCrypt server","provided by cryptostorm.is","Los Angeles CA","",https://cryptostorm.is,1,no,yes,yes,173.208.95.75:443,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
d0wn-at-ns1,"D0wn Resolver Austria 01","Server provided by Martin  d0wn  Albus","Austria","",https://dns.d0wn.biz,1,yes,yes,no,79.133.33.52:443,2.dnscrypt-cert.at.d0wn.biz,717E:5DF4:1841:CD4B:D92E:CE16:ECCC:443D:B305:B03D:86E6:69B7:4AC1:FBB6:18D0:2BB4,pubkey.at.dnscrypt.d0wn.biz
d0wn-cz-ns1,"D0wn Resolver Czech Republic 01","Server provided by Martin  d0wn  Albus","Czech Republic","",https://dns.d0wn.biz,1,yes,yes,no,81.2.237.32:443,2.dnscrypt-cert.cz.d0wn.biz,EE21:5055:4DA0:1367:BAC3:768A:7C1E:24BF:D777:ACD5:77A4:44F8:BDF3:84E0:5966:D855,pubkey.cz.dnscrypt.d0wn.biz
d0wn-de-ns1,"D0wn Resolver Germany 01","Server provided by Martin  d0wn  Albus","Germany","",https://dns.d0wn.biz,1,yes,yes,no,82.211.31.248:443,2.dnscrypt-cert.de.d0wn.biz,B040:19F8:8D49:4682:41E3:EB58:5F61:173F:EF8E:55DA:0597:2DB7:27BB:C153:1DD8:D109,pubkey.de.dnscrypt.d0wn.biz
d0wn-es-ns1,"D0wn Resolver Spain 01","Server provided by Martin  d0wn  Albus","Spain","",https://dns.d0wn.biz,1,yes,yes,no,91.142.220.29:443,2.dnscrypt-cert.es.d0wn.biz,EB09:E854:AEDA:9705:CB47:ED69:EADD:4156:3653:82C5:C88D:A2E3:6917:3B54:4774:7505,pubkey.es.dnscrypt.d0wn.biz
d0wn-es-ns1,"D0wn Resolver Spain 01","Server provided by Martin  d0wn  Albus","Spain","",https://dns.d0wn.biz,1,yes,yes,no,91.142.220.29:5353,2.dnscrypt-cert.es.d0wn.biz,EB09:E854:AEDA:9705:CB47:ED69:EADD:4156:3653:82C5:C88D:A2E3:6917:3B54:4774:7505,pubkey.es.dnscrypt.d0wn.biz
d0wn-fr-ns1,"D0wn Resolver France 01","Server provided by Martin  d0wn  Albus","France","",https://dns.d0wn.biz,1,no,yes,yes,151.80.7.115:1053,2.dnscrypt-cert.fr.d0wn.biz,58A8:22D3:29EB:C14F:BCEB:45AF:42EB:2F58:C797:0AD3:ED31:397D:1D34:8636:2375:7251,pubkey.fr.dnscrypt.d0wn.biz
d0wn-fr-ns1,"D0wn Resolver France 01","Server provided by Martin  d0wn  Albus","France","",https://dns.d0wn.biz,1,no,yes,yes,151.80.7.115:5353,2.dnscrypt-cert.fr.d0wn.biz,58A8:22D3:29EB:C14F:BCEB:45AF:42EB:2F58:C797:0AD3:ED31:397D:1D34:8636:2375:7251,pubkey.fr.dnscrypt.d0wn.biz
d0wn-fr-ns1,"D0wn Resolver France 01","Server provided by Martin  d0wn  Albus","France","",https://dns.d0wn.biz,1,no,yes,yes,178.32.122.65:54,2.dnscrypt-cert.d0wn.biz,9970:E22D:7F6C:967F:8AED:CEEB:FBC1:94B9:AF54:376E:2BF7:39F1:F466:CBC9:AFDB:2A62,
d0wn-fr-ns1,"D0wn Resolver France 01","Server provided by Martin  d0wn  Albus","France","",https://dns.d0wn.biz,1,no,yes,yes,151.80.7.115:1053,2.dnscrypt-cert.fr.d0wn.biz,58A8:22D3:29EB:C14F:BCEB:45AF:42EB:2F58:C797:0AD3:ED31:397D:1D34:8636:2375:7251,pubkey.fr.dnscrypt.d0wn.biz
d0wn-fr-ns1,"D0wn Resolver France 01","Server provided by Martin  d0wn  Albus","France","",https://dns.d0wn.biz,1,no,yes,yes,151.80.7.115:5353,2.dnscrypt-cert.fr.d0wn.biz,58A8:22D3:29EB:C14F:BCEB:45AF:42EB:2F58:C797:0AD3:ED31:397D:1D34:8636:2375:7251,pubkey.fr.dnscrypt.d0wn.biz
d0wn-fr-ns2,"D0wn Resolver France 02","Server provided by Martin  d0wn  Albus","France","",https://dns.d0wn.biz,1,no,yes,yes,37.187.0.40:27015,2.dnscrypt-cert.d0wn.biz,9970:E22D:7F6C:967F:8AED:CEEB:FBC1:94B9:AF54:376E:2BF7:39F1:F466:CBC9:AFDB:2A62,
d0wn-fr-ns2,"D0wn Resolver France 02","Server provided by Martin  d0wn  Albus","France","",https://dns.d0wn.biz,1,no,yes,yes,37.187.0.40:443,2.dnscrypt-cert.fr2.d0wn.biz,25A7:DB7B:7835:55D5:7DA4:7C0C:57F8:9C5F:0220:3D09:67E3:585A:723E:E0D1:CB38:F767,pubkey.fr2.dnscrypt.d0wn.biz
d0wn-fr-ns2,"D0wn Resolver France 02","Server provided by Martin  d0wn  Albus","France","",https://dns.d0wn.biz,1,no,yes,yes,37.187.0.40:443,2.dnscrypt-cert.fr2.d0wn.biz,25A7:DB7B:7835:55D5:7DA4:7C0C:57F8:9C5F:0220:3D09:67E3:585A:723E:E0D1:CB38:F767,pubkey.fr2.dnscrypt.d0wn.biz
d0wn-hk-ns1,"d0wn server in Hong Kong","Server provided by Martin  d0wn  Albus","Hong Kong","",https://dns.d0wn.biz,1,no,yes,yes,119.81.242.146:54,2.dnscrypt-cert.hk.d0wn.biz,9E3E:203F:7446:A15E:4451:9095:A5D2:A65E:2B48:9736:5AD2:4760:6627:8F33:0327:5382,
d0wn-id-ns1,"D0wn Resolver Indonesia 01","Server provided by Martin  d0wn  Albus","Indonesia","",https://dns.d0wn.biz,1,yes,yes,no,45.114.118.195:443,2.dnscrypt-cert.id.d0wn.biz,BE93:B3F1:2A3B:2448:8F33:F91F:9461:5F73:D5CA:56D6:C789:96DE:7A18:D4DE:5182:094D,pubkey.id.dnscrypt.d0wn.biz
d0wn-is-ns1,"D0wn Resolver Iceland 01","Server provided by Martin  d0wn  Albus","Iceland","",https://dns.d0wn.biz,1,yes,yes,no,37.235.49.61:1053,2.dnscrypt-cert.is.d0wn.biz,2B28:974E:073A:6B38:722A:5BE1:F7A0:250C:508F:A809:238F:8F3D:76D8:6098:20D7:B2D9,pubkey.is.dnscrypt.d0wn.biz
d0wn-is-ns1,"D0wn Resolver Iceland 01","Server provided by Martin  d0wn  Albus","Iceland","",https://dns.d0wn.biz,1,yes,yes,no,37.235.49.61:443,2.dnscrypt-cert.is.d0wn.biz,2B28:974E:073A:6B38:722A:5BE1:F7A0:250C:508F:A809:238F:8F3D:76D8:6098:20D7:B2D9,pubkey.is.dnscrypt.d0wn.biz
d0wn-it-ns1,"D0wn Resolver Italy 01","Server provided by Martin  d0wn  Albus","Italy","",https://dns.d0wn.biz,1,yes,yes,no,31.14.133.188:443,2.dnscrypt-cert.it.d0wn.biz,2DEC:CEF8:A4D0:57DE:0D1A:CE8E:0A3C:BEB8:2135:61A8:BF0E:7373:0BA0:EC38:C876:3B50,pubkey.it.dnscrypt.d0wn.biz
d0wn-lv-ns2,"D0wn Resolver Latvia 02","Server provided by Martin  d0wn  Albus","Latvia","",https://dns.d0wn.biz,1,yes,yes,no,185.86.151.28:443,2.dnscrypt-cert.lv2.d0wn.biz,B111:F80C:E3E0:1C36:CC73:0995:009E:6351:EF08:0503:309D:9417:7AA3:8C67:916D:0CDF,pubkey.lv.dnscrypt.d0wn.biz
d0wn-md-ns1,"D0wn Resolver Moldova 01","Server provided by Martin  d0wn  Albus","Moldova","",https://dns.d0wn.biz,1,no,yes,yes,178.17.170.67:1053,2.dnscrypt-cert.md.d0wn.biz,3DB2:C4CB:39E2:6B82:FDDF:6D91:1A65:D164:F4F0:D237:8CDD:0C37:469F:24BA:B9A0:F9FF,pubkey.md.dnscrypt.d0wn.biz
d0wn-md-ns1,"D0wn Resolver Moldova 01","Server provided by Martin  d0wn  Albus","Moldova","",https://dns.d0wn.biz,1,no,yes,yes,178.17.170.67:54,2.dnscrypt-cert.d0wn.biz,9970:E22D:7F6C:967F:8AED:CEEB:FBC1:94B9:AF54:376E:2BF7:39F1:F466:CBC9:AFDB:2A62,
d0wn-md-ns1,"D0wn Resolver Moldova 01","Server provided by Martin  d0wn  Albus","Moldova","",https://dns.d0wn.biz,1,no,yes,yes,178.17.170.67:1053,2.dnscrypt-cert.md.d0wn.biz,3DB2:C4CB:39E2:6B82:FDDF:6D91:1A65:D164:F4F0:D237:8CDD:0C37:469F:24BA:B9A0:F9FF,pubkey.md.dnscrypt.d0wn.biz
d0wn-mx-ns1,"D0wn Resolver Mexico 01","Server provided by Martin  d0wn  Albus","Mexico","",https://dns.d0wn.biz,1,yes,yes,no,201.131.126.212:443,2.dnscrypt-cert.mx.d0wn.biz,999E:63F0:0DE7:C171:3A72:5625:2A3F:097B:EC3A:D28F:BE28:7569:5C37:E80D:3D55:4FD0,pubkey.mx.dnscrypt.d0wn.biz
d0wn-nl-ns1,"D0wn Resolver Netherlands 01","Server provided by Martin  d0wn  Albus","Netherlands","",https://dns.d0wn.biz,1,no,yes,yes,95.85.9.86:1053,2.dnscrypt-cert.nl.d0wn.biz,7BE6:68FE:A505:FFA7:4C27:C2CA:F881:59DA:038C:5741:13AA:2556:A4D2:2D0B:B6F0:009E,pubkey.nl.dnscrypt.d0wn.biz
d0wn-nl-ns1,"D0wn Resolver Netherlands 01","Server provided by Martin  d0wn  Albus","Netherlands","",https://dns.d0wn.biz,1,no,yes,yes,95.85.9.86:54,2.dnscrypt-cert.d0wn.biz,9970:E22D:7F6C:967F:8AED:CEEB:FBC1:94B9:AF54:376E:2BF7:39F1:F466:CBC9:AFDB:2A62,
d0wn-nl-ns1,"D0wn Resolver Netherlands 01","Server provided by Martin  d0wn  Albus","Netherlands","",https://dns.d0wn.biz,1,no,yes,yes,95.85.9.86:1053,2.dnscrypt-cert.nl.d0wn.biz,7BE6:68FE:A505:FFA7:4C27:C2CA:F881:59DA:038C:5741:13AA:2556:A4D2:2D0B:B6F0:009E,pubkey.nl.dnscrypt.d0wn.biz
d0wn-nl-ns2,"D0wn Resolver Netherlands 02","Server provided by Martin  d0wn  Albus","Netherlands","",https://dns.d0wn.biz,1,yes,yes,no,185.83.217.248:1053,2.dnscrypt-cert.nl2.d0wn.biz,DFAA:B7D8:29E6:1F34:4FED:2610:4221:70C9:ADC7:7E9F:A65F:4A46:0BAE:A735:3186:3B99,pubkey.nl2.dnscrypt.d0wn.biz
d0wn-nl-ns4,"D0wn Resolver Netherlands 04","Server provided by Martin  d0wn  Albus","Netherlands","",https://dns.d0wn.biz,1,yes,yes,no,31.220.43.105:443,2.dnscrypt-cert.nl4.d0wn.biz,2A4F:4389:5CE6:3230:B4C5:76A5:AC38:6418:4D12:6949:B160:FDB0:9166:ABB4:CEC6:0672,pubkey.nl4.dnscrypt.d0wn.biz
d0wn-random-ns1,"D0wn Resolver Moldova Random 01","Server provided by Martin  d0wn  Albus","Moldova","",https://dns.d0wn.biz,1,yes,yes,no,178.17.170.133:443,2.dnscrypt-cert.random.d0wn.biz,A420:867F:ED5C:024C:C86A:EECE:AA05:194B:017F:D2FF:9E72:385A:874F:8CE5:6832:ED2E,pubkey.random.dnscrypt.d0wn.biz
d0wn-random-ns2,"D0wn Resolver Netherlands Random 02","Server provided by Martin  d0wn  Albus","Netherlands","",https://dns.d0wn.biz,1,yes,yes,no,185.14.29.140:1053,2.dnscrypt-cert.random2.d0wn.biz,7D73:F486:3C01:4CC9:B278:D107:F254:7A4F:1EA2:1081:07B0:CB82:645A:D8A4:B98A:B327,pubkey.random2.dnscrypt.d0wn.biz
d0wn-random-ns2,"D0wn Resolver Netherlands Random 02","Server provided by Martin  d0wn  Albus","Netherlands","",https://dns.d0wn.biz,1,yes,yes,no,185.14.29.140:443,2.dnscrypt-cert.random2.d0wn.biz,7D73:F486:3C01:4CC9:B278:D107:F254:7A4F:1EA2:1081:07B0:CB82:645A:D8A4:B98A:B327,pubkey.random2.dnscrypt.d0wn.biz
d0wn-ru-ns1,"D0wn Resolver Russia 01","Server provided by Martin  d0wn  Albus","Russia","",https://dns.d0wn.biz,1,yes,yes,no,91.214.71.181:443,2.dnscrypt-cert.ru.d0wn.biz,0ECA:BC40:E0A1:335F:0221:4240:AB86:2919:D16A:2393:CCEB:4B40:9EB9:4F24:3077:ED99,pubkey.ru.dnscrypt.d0wn.biz
d0wn-sa-ns1,"d0wn server in Saudi Arabia","Server provided by Martin  d0wn  Albus","Saudi Arabia","",https://dns.d0wn.biz,1,no,yes,yes,46.151.208.154:54,2.dnscrypt-cert.d0wn.biz,9970:E22D:7F6C:967F:8AED:CEEB:FBC1:94B9:AF54:376E:2BF7:39F1:F466:CBC9:AFDB:2A62,
d0wn-se-ns1,"D0wn Resolver Sweden 01","Server provided by Martin  d0wn  Albus","Sweden","",https://dns.d0wn.biz,1,yes,yes,no,95.215.44.124:443,2.dnscrypt-cert.se.d0wn.biz,9D4F:762B:DD24:F77A:64B4:7E0F:F5C6:93FD:A02A:39E9:8FEC:0CEE:F252:3A5F:A403:C032,pubkey.se.dnscrypt.d0wn.biz
d0wn-se-ns2,"D0wn Resolver Sweden 02","Server provided by Martin  d0wn  Albus","Sweden","",https://dns.d0wn.biz,1,yes,yes,no,31.220.5.186:443,2.dnscrypt-cert.se2.d0wn.biz,C57D:D6A4:178E:ADE2:D0C0:B138:A4D4:074A:DF59:1488:8711:5CAC:EB60:A37B:3492:DA15,pubkey.se2.dnscrypt.d0wn.biz
d0wn-sg-ns1,"D0wn Resolver Singapore 01","Server provided by Martin  d0wn  Albus","Singapore","",https://dns.d0wn.biz,1,no,yes,yes,128.199.248.105:443,2.dnscrypt-cert.sg.d0wn.biz,D82B:2B76:1DA0:8470:B55B:820C:FAAB:9F32:D632:E9E0:5616:2CE7:7D21:E970:98FF:4A34,pubkey.sg.dnscrypt.d0wn.biz
d0wn-sg-ns1,"D0wn Resolver Singapore 01","Server provided by Martin  d0wn  Albus","Singapore","",https://dns.d0wn.biz,1,no,yes,yes,128.199.248.105:54,2.dnscrypt-cert.d0wn.biz,9970:E22D:7F6C:967F:8AED:CEEB:FBC1:94B9:AF54:376E:2BF7:39F1:F466:CBC9:AFDB:2A62,
d0wn-sg-ns1,"D0wn Resolver Singapore 01","Server provided by Martin  d0wn  Albus","Singapore","",https://dns.d0wn.biz,1,no,yes,yes,128.199.248.105:443,2.dnscrypt-cert.sg.d0wn.biz,D82B:2B76:1DA0:8470:B55B:820C:FAAB:9F32:D632:E9E0:5616:2CE7:7D21:E970:98FF:4A34,pubkey.sg.dnscrypt.d0wn.biz
d0wn-us-ns1,"D0wn Resolver United States of America 01","Server provided by Martin  d0wn  Albus","United States of America","",https://dns.d0wn.biz,1,yes,yes,no,107.181.187.219:443,2.dnscrypt-cert.us.d0wn.biz,04BB:6100:7CFF:C72B:AF91:8942:F9DC:12A9:61A1:C6F2:177F:7CF9:F3C9:1B43:9FBE:6B80,pubkey.us.dnscrypt.d0wn.biz
d0wn-us-ns2,"D0wn Resolver United States of America 02","Server provided by Martin d0wn Albus","United States of America","",https://dns.d0wn.biz,1,yes,yes,no,192.252.222.24:443,2.dnscrypt-cert.us2.d0wn.biz,729B:FABE:2295:D469:E911:F97E:3EE4:F6DB:0190:EA6F:7CF3:F7EE:BB6B:99B1:698A:237D,pubkey.us2.dnscrypt.d0wn.biz
d0wn-us-ns4,"D0wn Resolver United States of America 04","Server provided by Martin  d0wn  Albus","United States of America","",https://dns.d0wn.biz,1,yes,yes,no,107.181.168.52:443,2.dnscrypt-cert.us4.d0wn.biz,F392:5D53:A315:66C2:ACF2:B2D2:8A69:6739:B066:1B8C:EF1B:3AFD:E828:0D83:D4EA:6D7D,pubkey.us4.dnscrypt.d0wn.biz
d0wn-za-ns1,"D0wn Resolver South Africa 01","Server provided by Martin d0wn Albus","South Africa","",https://dns.d0wn.biz,1,yes,yes,no,169.239.181.3:443,2.dnscrypt-cert.za.d0wn.biz,FBBD:0F3A:AF2B:B1BB:CD8F:9324:D5F6:A68C:E722:3890:8B90:92CF:F6D2:BF7C:9EC1:1368,pubkey.za.dnscrypt.d0wn.biz
dns.btr.zone,"BTR.Zone DNSCrypt resolver","Free of logs and censors by BTR.Zone","Falkenstein Germany","",https://btr.zone,1,yes,yes,no,94.130.67.138:443,2.dnscrypt-cert.dns.btr.zone,99DA:E67E:C45B:8659:0E0D:4F65:337C:05B4:FACF:3568:382C:210D:2CD2:3A84:EFB4:7D32,pk.dns.btr.zone
dnscrypt.ca-3,"dnscrypt.ca Server 3","Uncensored DNSSEC validating and log-free","Ottawa Canada","",https://dnscrypt.ca/,1,yes,yes,no,69.165.220.221:5353,2.dnscrypt-cert.dnscrypt.ca-3,1F98:87D8:4EDC:C5C7:A123:C862:0A6D:4B6B:CB91:45A1:994F:6BF6:6643:EB2C:9E33:DE5B,3.pk.dnscrypt.ca
dnscrypt.eu-dk-port5353,"DNSCrypt.eu Denmark (port 5353)","Free non-logged uncensored. Hosted by Netgroup.","Denmark","",https://dnscrypt.eu,1,yes,yes,no,77.66.84.233:5353,2.dnscrypt-cert.resolver2.dnscrypt.eu,3748:5585:E3B9:D088:FD25:AD36:B037:01F5:520C:D648:9E9A:DD52:1457:4955:9F0A:9955,pubkey.resolver2.dnscrypt.eu
fvz-anyone,"Primary OpenNIC Anycast DNS Resolver","Fusl s public primary OpenNIC Tier2 Anycast DNS Resolver","Anycast","",http://dnsrec.meo.ws/,1,no,yes,no,185.121.177.177:443,2.dnscrypt-cert.dnsrec.meo.ws,1A6A:D0A3:2B4C:5A61:A695:D153:670D:69AB:1690:3F9E:C3F7:F64F:13E5:35A3:18B2:28A5,
fvz-anytwo,"Secondary OpenNIC Anycast DNS Resolver","Fusl s public secondary OpenNIC Tier2 Anycast DNS Resolver","Anycast","",http://dnsrec.meo.ws/,1,no,yes,no,169.239.202.202:443,2.dnscrypt-cert.dnsrec.meo.ws,1A6A:D0A3:2B4C:5A61:A695:D153:670D:69AB:1690:3F9E:C3F7:F64F:13E5:35A3:18B2:28A5,
fvz-rec-at-vie-01,"opennic-fvz-rec-at-vie-01 in Vienna Austria","Fusl s public OpenNIC Tier2 DNS Resolver in Vienna Austria - Sponsored by dediserve (https://dediserve.com/)","Vienna Austria","",http://meo.ws/dnsrec.php,1,no,yes,yes,79.133.43.124:443,2.dnscrypt-cert.fvz-rec-at-vie-01.dnsrec.meo.ws,8D64:21DA:85D0:11B2:5056:319C:A81B:C6BB:EABC:0790:3CED:1469:EA4B:91A7:9568:C6BC,
